Publication_Hardcover,Publication_Paperback,Publication_other,Title,Author,Edition,Reviews,Ratings,Synopsis,Genre,BookCategory,Price,Age_of_book
0,1,0,2,15,446,5.0,1,2,1183,878,565.0,16
0,1,0,1,11,334,4.6,8,1,15,614,511.0,9
0,1,0,1,5,478,5.0,7,1,7,733,144.0,9
1,0,0,17,1,91,4.7,5,1,325,878,1455.9,9
0,1,0,1,1,380,3.8,18,1,2,733,645.0,14
1,0,0,2,4,42,4.5,16,2,80,733,427.0,7
1,0,0,2,5,28,4.6,6,2,145,702,560.0,3
0,1,0,1,6,428,5.0,3,1,8,614,395.1,8
0,1,0,1,1,334,5.0,2,1,145,638,386.0,16
0,1,0,1,5,366,4.1,98,1,84,732,226.0,8
0,1,0,3,20,446,4.8,12,3,1183,1036,303.0,10
0,1,0,2,3,431,4.8,14,2,234,638,1383.0,10
0,1,0,1,30,57,3.8,3,1,1183,1036,235.0,5
0,1,0,2,2,435,4.4,97,2,14,732,427.0,6
0,0,1,3,4,3,2.0,1,3,145,638,587.0,4
0,0,1,2,19,19,4.6,7,2,1183,878,262.0,22
0,1,0,1,1,42,5.0,2,1,463,732,769.0,4
0,1,0,2,2,431,5.0,2,2,25,670,180.0,3
0,1,0,1,1,442,4.2,7,1,517,702,199.0,5
1,0,0,1,1,117,4.1,5,1,52,670,370.0,6
0,1,0,3,5,486,4.7,285,3,1183,1036,259.0,7
0,1,0,2,40,478,4.1,29,2,244,638,444.25,9
0,1,0,1,1,385,5.0,1,1,41,648,743.0,6
1,0,0,1,2,85,3.7,27,1,463,732,360.0,6
0,1,0,1,2,493,4.0,4,1,12,402,247.0,18
0,1,0,1,2,428,3.2,267,1,94,702,88.0,4
0,1,0,1,1,442,4.0,24,1,39,648,191.0,8
1,0,0,1,4,58,4.0,7,1,23,670,138.0,23
0,1,0,3,4,559,4.7,6,3,1183,1036,503.0,12
0,1,0,1,1,1,5.0,2,1,92,670,220.0,9
0,1,0,1,4,559,4.3,146,1,335,878,325.0,8
0,1,0,5,10,428,5.0,1,5,234,402,573.18,11
1,0,0,1,61,91,4.0,4,1,98,733,1049.0,6
0,1,0,2,2,493,5.0,1,2,80,670,413.0,6
0,1,0,2,14,51,4.1,95,2,1183,1036,304.0,4
0,1,0,1,3,446,5.0,1,1,244,744,661.0,6
0,1,0,2,2,493,4.6,234,2,463,614,334.0,6
0,1,0,2,4,446,3.7,35,2,21,638,543.0,7
1,0,0,1,1,59,5.0,3,1,82,402,721.0,3
0,1,0,1,1,3,4.1,5,1,92,638,1643.0,15
0,1,0,3,15,3,4.4,7,3,1183,878,309.0,14
1,0,0,1,3,77,4.0,2,1,463,670,854.0,4
0,1,0,1,1,428,5.0,4,1,8,670,1799.0,7
0,1,0,2,2,2,4.6,66,2,463,732,437.0,10
0,1,0,1,2,334,5.0,1,1,7,614,409.0,6
0,1,0,1,3,478,4.5,15,1,92,638,239.0,6
0,1,0,2,2,478,4.5,8,2,2,402,374.0,4
0,1,0,1,1,428,3.2,20,1,83,732,199.0,7
0,1,0,1,1,431,4.6,39,1,15,732,345.0,21
1,0,0,1,1,9,4.2,9,1,1,402,373.0,4
0,1,0,1,1,54,5.0,6,1,10,733,400.0,4
1,0,0,1,1,13,3.7,3,1,61,732,433.0,3
1,0,0,1,1,93,4.8,7,1,463,614,1477.0,7
0,1,0,1,1,366,2.6,7,1,92,638,499.0,5
0,1,0,1,2,493,4.9,12,1,59,614,262.0,5
0,1,0,1,2,446,4.1,171,1,6,648,2846.0,6
1,0,0,1,18,79,5.0,13,1,463,732,150.0,3
0,1,0,1,1,435,4.0,2,1,1,670,350.0,53
0,1,0,1,1,486,3.5,2,1,24,732,434.0,3
0,1,0,1,1,493,4.5,9,1,92,638,423.24,14
0,1,0,1,2,385,5.0,2,1,29,648,449.0,11
0,1,0,1,1,1,3.2,7,1,10,733,510.0,6
0,1,0,1,3,493,4.6,399,1,94,702,93.0,4
1,0,0,1,33,91,5.0,1,1,325,670,479.0,8
0,1,0,1,1,478,4.0,7,1,517,702,115.0,13
0,1,0,1,87,428,4.5,42,1,335,878,319.0,3
1,0,0,1,65,91,4.0,2,1,9,733,74.0,6
0,1,0,1,1,442,2.8,2,1,29,648,399.0,5
1,0,0,1,1,59,5.0,2,1,21,648,3242.0,6
0,1,0,1,7,366,4.2,142,1,517,702,324.35,5
0,1,0,1,11,431,3.4,4,1,15,614,555.0,9
0,1,0,1,1,559,2.9,10,1,13,732,302.0,18
0,1,0,1,2,366,3.9,62,1,94,732,200.0,8
0,1,0,1,1,493,4.1,3,1,463,614,212.0,18
0,1,0,2,2,385,5.0,1,1,234,744,685.0,3
0,0,1,1,1,1,5.0,1,1,3,614,427.0,4
0,1,0,1,3,478,4.5,15,1,120,638,1099.0,12
0,1,0,1,1,385,5.0,5,1,83,614,1453.0,7
0,1,0,1,3,57,4.8,6,1,1183,1036,190.0,6
0,1,0,2,2,446,4.7,11,2,25,670,336.0,21
0,1,0,3,36,559,4.7,20,3,76,638,647.0,29
0,1,0,1,1,559,4.7,4,1,120,670,320.0,6
0,1,0,1,1,431,5.0,1,1,25,638,899.0,13
0,1,0,3,15,486,4.3,839,3,1183,878,235.0,8
0,1,0,1,2,435,3.9,47,1,463,732,260.0,7
0,1,0,1,1,50,3.5,5,1,1183,1036,620.0,4
0,1,0,1,1,442,4.0,1,1,98,733,599.0,6
0,1,0,1,1,366,4.3,3,1,80,614,449.0,7
0,1,0,1,1,366,4.4,18,1,82,402,837.0,9
1,0,0,2,2,77,5.0,1,2,234,744,1879.0,20
0,1,0,1,4,446,4.3,165,1,18,402,547.0,22
0,1,0,1,2,559,3.7,30,1,52,670,199.0,9
0,1,0,1,1,478,3.3,7,1,80,733,549.0,11
0,0,1,1,14,4,4.2,5,3,145,638,1059.0,5
0,1,0,1,4,486,4.2,53,1,5,402,374.0,7
0,1,0,2,4,2,3.7,3,1,13,744,624.0,14
0,1,0,1,1,478,4.0,2,1,1,638,1045.0,13
1,0,0,1,2,67,5.0,1,1,2,638,1625.0,13
0,1,0,1,1,380,4.5,6,1,5,732,815.0,23
0,1,0,3,3,559,4.3,32,3,82,670,816.0,14
0,1,0,1,11,431,4.5,10,1,29,614,614.0,9
0,1,0,1,1,442,4.6,14,1,2,670,180.0,3
0,1,0,2,2,380,4.8,77,2,6,732,397.0,4
0,1,0,3,20,385,4.3,16,3,92,638,155.0,5
0,1,0,1,1,380,4.0,33,1,8,732,303.0,6
0,1,0,1,1,385,4.5,35,1,35,648,459.0,7
0,1,0,3,34,334,4.2,37,3,1183,1036,309.0,30
1,0,0,1,1,85,4.6,3,1,15,1036,1179.99,4
0,1,0,1,1,428,3.7,4,1,66,744,774.0,6
1,0,0,1,1,42,5.0,6,1,39,648,3859.0,6
0,1,0,2,2,435,5.0,8,2,84,878,209.0,3
0,1,0,1,1,385,4.8,10,1,35,648,1600.0,10
0,1,0,1,39,334,4.5,2,1,335,878,372.0,4
0,1,0,1,2,442,5.0,1,1,41,648,2964.0,13
0,1,0,2,2,385,3.9,9,2,47,648,325.0,6
1,0,0,1,33,91,5.0,6,1,325,670,449.0,16
1,0,0,3,3,13,4.6,54,3,8,402,330.0,4
0,1,0,1,1,486,5.0,1,1,82,402,450.0,3
1,0,0,1,2,67,5.0,2,1,16,670,1029.0,11
0,1,0,2,2,431,3.7,6,2,244,670,375.0,12
0,1,0,1,1,478,4.0,1,1,80,733,720.0,19
0,1,0,1,2,366,4.3,35,1,49,702,395.0,19
0,1,0,1,87,559,4.9,13,1,40,878,184.0,5
0,1,0,3,36,442,3.8,13,3,76,670,283.0,30
1,0,0,1,2,42,3.0,1,1,463,670,449.0,4
0,1,0,1,3,478,4.3,28,1,13,732,299.0,5
0,1,0,1,3,435,3.7,7,1,325,878,299.0,5
0,1,0,1,1,69,4.5,2,1,80,614,270.0,26
1,0,0,1,65,77,4.5,2,1,71,733,61.0,13
0,1,0,1,26,428,3.7,23,1,335,878,184.0,4
0,1,0,1,1,43,4.2,50,1,517,702,70.0,4
0,1,0,1,3,1,5.0,2,1,1183,1036,418.0,10
0,1,0,2,6,478,4.7,4,2,463,614,395.0,4
0,1,0,1,3,442,4.0,197,1,2,733,179.0,11
0,1,0,1,1,366,5.0,2,1,234,744,782.0,13
0,1,0,1,1,380,3.5,4,1,29,733,475.44,22
0,1,0,3,3,478,4.0,30,3,463,670,403.0,10
0,1,0,1,5,334,5.0,1,1,517,702,359.0,10
0,0,1,1,3,18,3.9,26,1,14,878,114.0,40
0,1,0,2,4,559,4.7,5,2,234,744,639.0,8
0,1,0,1,1,366,4.4,3,1,325,878,247.0,3
0,1,0,2,2,486,4.2,114,2,1183,702,210.0,5
0,1,0,1,11,60,3.7,32,1,517,702,117.0,3
0,1,0,1,1,43,3.8,12,1,64,648,1679.0,4
1,0,0,1,65,77,5.0,1,1,71,733,73.0,13
0,1,0,1,1,3,4.2,46,1,64,648,2905.0,9
0,1,0,1,1,380,4.7,15,1,25,638,344.0,8
0,1,0,1,1,486,5.0,1,1,47,648,1499.0,7
1,0,0,1,1,49,3.0,1,1,517,702,309.0,4
0,1,0,1,3,366,4.5,72,1,2,702,250.0,25
0,1,0,2,2,334,4.8,51,2,24,402,259.0,11
0,1,0,1,5,435,5.0,1,1,517,702,1074.0,7
1,0,0,1,3,28,4.3,161,1,19,732,322.0,6
0,1,0,2,3,446,5.0,3,2,6,638,768.0,7
0,1,0,1,7,442,4.6,135,1,1183,1036,120.0,12
0,1,0,1,18,366,4.3,26,1,94,670,205.0,14
0,1,0,1,2,435,4.6,41,1,335,878,338.0,6
0,1,0,1,1,435,5.0,1,1,44,670,723.0,33
0,1,0,3,10,428,3.0,1,3,120,638,1499.0,8
0,1,0,1,1,431,4.5,156,1,12,732,171.0,7
1,0,0,1,1,51,4.3,15,1,463,732,372.0,3
0,1,0,1,2,442,4.7,77,1,463,670,369.0,7
0,1,0,1,2,334,4.6,1416,1,463,732,73.0,5
0,1,0,1,1,366,4.5,4,1,24,1036,783.0,7
0,0,1,1,3,3,5.0,1,1,517,702,259.0,4
0,1,0,1,1,41,4.2,3,1,92,638,1268.0,5
0,1,0,2,2,69,4.7,49,2,1183,1036,187.0,7
0,1,0,1,5,431,4.6,3,1,234,744,677.0,7
0,1,0,1,1,50,4.5,4,1,1183,1036,266.0,5
0,1,0,1,1,493,4.5,2,1,84,878,344.0,4
0,1,0,2,14,51,4.1,93,2,1183,1036,304.0,4
0,1,0,1,10,385,3.3,7,1,76,744,82.0,12
0,1,0,1,2,442,5.0,3,1,5,402,434.0,4
0,1,0,2,26,493,3.5,27,2,1183,878,248.0,6
0,1,0,1,1,43,3.0,1,1,92,638,153.0,4
0,1,0,3,34,486,3.8,23,3,1183,1036,203.0,11
1,0,0,2,2,91,4.5,221,2,52,648,335.0,5
0,0,1,1,1,21,4.8,5,1,34,614,455.0,40
0,1,0,3,12,431,5.0,2,3,234,744,702.0,12
0,1,0,1,4,428,3.3,36,1,71,733,69.0,11
0,1,0,2,19,428,4.6,3,2,1183,878,296.0,27
0,1,0,1,1,428,4.8,6,1,84,732,334.0,4
0,1,0,1,4,366,3.9,154,1,335,878,399.0,15
0,1,0,1,4,380,4.0,3,1,52,670,135.0,18
0,1,0,2,2,385,3.4,8,2,1183,1036,428.0,9
0,1,0,1,1,385,4.4,74,1,98,733,659.0,8
0,1,0,1,48,428,4.6,20,1,234,744,678.0,11
0,1,0,1,1,435,3.3,10,1,7,733,320.0,11
0,1,0,1,15,380,4.2,49,1,71,733,363.0,10
0,1,0,1,15,478,4.2,14,1,1183,1036,319.0,5
0,1,0,2,2,442,4.1,2,2,2,670,793.0,13
0,1,0,1,87,559,4.4,24,1,335,878,228.0,5
1,0,0,1,1,2,5.0,2,1,120,638,1196.0,8
0,1,0,3,5,431,5.0,7,5,1183,1036,258.0,3
0,1,0,1,34,4,4.1,35,1,325,878,319.0,6
0,1,0,1,1,380,5.0,1,1,5,614,734.0,6
0,1,0,2,32,435,4.6,45,2,1183,1036,395.0,5
0,0,1,1,4,1,3.9,6,1,145,638,1453.0,10
0,1,0,1,1,446,4.4,3,1,35,614,97.0,10
0,1,0,1,1,486,4.6,11,1,463,614,378.91,15
0,1,0,3,12,431,4.4,7,3,1183,878,259.0,7
0,1,0,2,26,446,4.3,13,2,1183,1036,299.0,9
0,1,0,4,4,478,4.5,5,4,40,733,88.0,35
0,1,0,2,7,334,5.0,1,2,1183,878,375.0,23
0,1,0,2,40,478,4.6,41,2,244,638,304.0,9
1,0,0,1,13,85,5.0,2,1,244,744,541.0,4
0,1,0,1,4,385,3.9,20,1,40,733,380.0,11
0,1,0,4,13,446,4.7,8,1,234,744,489.0,19
0,1,0,11,11,478,4.5,2,1,234,744,354.0,5
0,1,0,1,1,366,5.0,10,1,463,732,205.0,5
1,0,0,1,1,93,4.2,4,1,244,744,449.0,9
0,1,0,3,15,559,4.4,39,3,1183,1036,415.0,5
0,1,0,11,11,486,5.0,1,1,234,744,497.0,6
0,1,0,2,16,446,4.0,27,2,5,732,2742.0,7
0,1,0,1,2,493,3.0,1,1,1183,744,467.0,7
1,0,0,1,2,14,2.9,11,1,28,732,373.0,4
0,1,0,1,2,446,3.0,3,1,25,614,706.0,19
0,1,0,1,1,559,4.6,3,1,40,878,233.22,8
0,1,0,1,4,49,5.0,1,1,82,733,1009.0,5
0,1,0,1,1,442,4.1,240,1,5,648,159.0,21
0,1,0,1,4,486,4.4,50,1,9,702,773.0,9
0,1,0,1,1,446,3.7,62,1,21,732,139.0,11
0,1,0,1,1,49,5.0,1,1,80,614,1203.0,6
0,1,0,1,2,1,4.1,55,1,2,648,259.0,11
0,1,0,1,2,366,3.4,4,1,94,732,228.0,19
0,1,0,1,19,52,3.5,9,1,1183,1036,375.0,10
0,1,0,1,65,42,2.0,2,1,80,733,113.0,4
0,1,0,1,1,50,4.5,55,1,41,648,480.0,5
0,1,0,1,1,559,4.0,1,1,83,614,1038.0,5
0,1,0,1,6,435,4.5,19,1,34,614,690.0,20
0,1,0,1,1,385,3.3,3,1,35,648,299.0,20
0,1,0,1,1,435,4.6,5,1,48,402,245.0,6
1,0,0,1,1,51,4.5,2,1,22,638,425.0,10
0,1,0,1,4,3,5.0,2,1,11,638,324.0,20
0,1,0,2,4,442,4.0,4,2,28,670,239.0,19
0,1,0,1,1,478,4.7,17,1,25,733,242.0,3
0,1,0,1,1,486,4.6,7,1,10,732,580.0,4
0,1,0,2,6,446,4.3,26,2,9,732,420.44,15
0,1,0,1,1,486,4.3,4,1,463,614,469.0,8
0,1,0,3,10,428,4.7,7,3,1183,1036,359.0,12
0,1,0,3,15,380,4.3,37,3,1183,1036,225.0,5
0,1,0,3,9,69,4.3,48,3,1183,702,407.5,4
0,1,0,1,3,442,3.9,15,1,80,733,125.0,3
0,1,0,2,1,559,4.1,404,1,35,648,79.0,8
0,0,1,1,1,12,5.0,2,1,44,670,319.0,12
0,1,0,2,2,559,5.0,1,2,76,744,798.44,5
0,1,0,1,1,442,3.7,8,1,517,702,178.0,3
0,1,0,1,1,366,4.4,8,1,80,614,443.0,4
0,1,0,1,1,435,5.0,1,1,47,638,1416.0,8
0,1,0,2,8,486,2.5,3,2,1183,1036,399.14,12
0,1,0,1,1,478,3.8,3,1,28,670,310.0,36
0,0,1,1,1,15,4.0,1,1,517,702,161.0,6
0,1,0,1,8,435,4.8,7,1,325,702,399.0,9
0,1,0,1,1,380,4.2,29,1,463,732,240.93,19
0,1,0,1,6,428,4.2,245,1,40,732,155.0,10
0,1,0,1,6,486,4.2,11,1,3,648,599.0,5
0,1,0,2,2,334,4.1,35,2,463,614,375.0,8
0,1,0,1,2,334,4.5,8,1,1,614,450.0,8
0,1,0,2,32,431,4.1,37,2,1183,878,309.0,10
0,1,0,1,2,478,4.0,5,1,50,614,140.0,32
0,1,0,1,1,559,4.4,5,1,80,614,1280.0,6
0,1,0,1,1,59,1.0,1,1,19,670,3951.07,31
0,1,0,1,1,366,4.5,45,1,34,614,158.0,13
0,0,1,1,7,15,4.5,5,1,7,878,399.0,9
0,1,0,1,1,559,3.5,14,1,1183,1036,220.0,6
1,0,0,2,2,117,4.2,6,2,82,402,366.0,4
0,1,0,1,6,442,4.5,62,1,463,732,319.0,6
0,1,0,1,1,435,4.0,35,1,517,702,408.0,4
0,1,0,1,6,366,5.0,2,1,1183,1036,449.0,3
1,0,0,1,1,28,3.9,9,1,64,648,2275.0,8
0,1,0,1,1,435,5.0,3,1,10,733,808.0,6
1,0,0,2,3,79,4.6,10,2,92,638,350.0,4
1,0,0,2,2,13,5.0,1,1,50,670,1499.0,5
0,1,0,1,1,435,3.0,22,1,80,733,270.0,12
0,1,0,1,1,54,3.0,2,1,244,744,311.0,5
0,1,0,1,2,41,3.7,26,1,4,402,295.0,5
0,1,0,1,1,442,5.0,1,1,1183,1036,2655.21,10
1,0,0,1,61,93,4.4,3,1,46,638,779.0,7
0,1,0,1,1,334,4.0,11,1,21,732,497.0,9
0,1,0,1,1,493,4.4,26,1,517,702,207.0,6
1,0,0,1,1,59,3.7,18,1,98,733,212.0,10
1,0,0,2,3,77,4.7,36,2,18,402,508.0,4
0,1,0,1,1,435,3.5,5,1,16,638,858.0,15
1,0,0,1,1,59,3.8,62,1,119,670,1300.0,10
0,1,0,1,5,493,4.6,7,1,517,702,449.0,8
0,1,0,1,2,428,4.0,2,1,517,702,130.0,6
0,1,0,14,14,428,5.0,3,2,119,670,493.0,4
0,1,0,1,16,428,4.1,10,1,1183,1036,399.0,12
0,1,0,1,14,446,4.4,292,1,335,878,179.0,6
0,1,0,1,2,428,3.6,5,1,517,702,336.0,8
0,1,0,1,25,366,4.1,14,1,517,702,125.0,4
1,0,0,1,1,51,5.0,1,1,244,744,130.0,7
0,1,0,1,1,486,4.1,25,1,463,732,374.0,14
0,1,0,1,1,446,3.4,7,1,23,670,247.0,13
0,1,0,1,1,51,5.0,1,1,11,670,206.5,5
0,0,1,1,1,18,3.0,1,1,335,878,274.0,6
0,1,0,1,1,442,5.0,1,1,10,744,1320.0,11
0,1,0,1,1,385,4.8,6,1,11,648,925.0,5
1,0,0,1,10,14,3.6,9,1,244,744,999.0,5
0,1,0,1,1,435,4.1,75,1,517,702,153.0,7
0,1,0,1,5,478,5.0,12,1,8,732,403.9,9
1,0,0,2,2,12,3.6,381,2,1183,1036,479.0,4
0,0,1,1,3,1,4.0,10,1,92,638,319.0,16
0,1,0,1,1,435,5.0,1,1,82,402,599.0,3
0,1,0,2,2,380,4.4,18,2,61,732,295.0,5
0,1,0,2,2,366,5.0,1,2,1183,1036,342.0,7
0,1,0,1,1,493,4.0,2,1,33,878,130.0,34
0,1,0,2,2,366,4.0,44,2,463,638,552.21,19
0,1,0,1,1,435,3.9,32,1,39,648,559.0,6
0,1,0,1,1,493,2.9,3,1,33,878,332.0,5
0,1,0,1,2,478,4.0,1,1,64,648,1770.45,15
0,1,0,1,11,559,3.6,17,1,325,702,336.0,5
0,1,0,1,1,50,5.0,3,1,23,744,1137.0,4
0,1,0,1,1,366,3.1,8,1,1183,1036,440.0,18
0,1,0,1,1,385,4.1,11,1,43,648,1025.0,5
0,1,0,2,2,493,5.0,1,1,234,744,413.0,16
0,1,0,1,5,366,3.6,27,1,22,648,141.0,19
1,0,0,1,12,117,5.0,3,1,25,638,1791.41,6
0,1,0,1,1,334,4.7,5,1,16,648,1730.0,10
0,1,0,1,10,41,4.6,443,1,517,702,120.0,5
0,1,0,2,5,380,4.2,425,2,61,732,270.0,5
0,1,0,1,2,478,4.2,16,4,33,878,123.0,11
0,1,0,2,30,446,4.3,10,2,1183,1036,228.0,6
0,0,1,1,1,18,3.7,8,1,7,402,295.0,31
0,0,1,1,1,13,5.0,1,1,517,702,556.0,9
1,0,0,1,1,93,5.0,3,1,52,744,958.0,9
0,1,0,2,4,559,5.0,2,2,92,670,450.0,5
0,1,0,1,5,493,4.2,21,1,244,744,175.0,6
0,1,0,2,2,493,4.6,238,2,82,402,352.0,5
0,1,0,1,3,478,4.0,165,1,94,702,98.0,3
0,1,0,2,20,334,4.6,15,2,1183,878,182.0,12
1,0,0,2,2,91,5.0,8,2,1183,1036,461.23,8
0,1,0,1,1,486,4.7,84,1,463,732,153.0,4
0,1,0,1,3,385,4.4,68,1,3,648,1825.0,7
0,1,0,1,1,435,5.0,1,1,50,670,1939.0,5
0,0,1,1,7,18,4.3,6,1,517,702,549.0,31
0,0,1,1,3,9,4.5,2,1,1183,1036,382.0,29
0,0,1,1,21,1,4.1,4,1,1183,1036,369.0,41
0,1,0,1,2,60,2.7,3,1,92,638,184.0,3
1,0,0,1,1,93,4.3,20,1,1183,1036,2216.63,7
0,1,0,1,1,43,3.0,1,1,517,878,250.0,4
0,1,0,1,1,486,4.2,9,1,80,614,538.26,13
0,1,0,1,3,493,3.9,2,1,1183,1036,439.0,10
0,1,0,1,1,435,5.0,4,1,7,733,280.0,22
0,1,0,1,26,428,5.0,3,1,335,878,295.0,34
0,1,0,1,1,435,4.5,9,1,92,670,379.0,33
0,1,0,1,3,435,4.4,33,1,335,878,273.0,4
0,1,0,1,1,486,5.0,2,1,120,638,2350.0,46
0,1,0,2,48,334,4.6,9,2,234,744,342.0,17
1,0,0,2,3,51,4.6,11,2,234,744,573.0,14
0,1,0,1,4,428,2.0,1,1,12,733,308.0,14
1,0,0,1,2,67,4.3,108,1,325,744,621.0,3
0,1,0,1,4,486,4.1,7,1,335,878,329.0,8
0,1,0,1,10,559,3.8,25,1,22,402,409.0,9
0,1,0,1,1,446,4.0,1,1,34,614,690.0,28
0,1,0,1,1,493,4.8,5,1,1183,1036,517.0,5
0,1,0,1,87,559,4.1,16,1,335,878,261.0,5
1,0,0,1,1,67,3.9,17,1,25,732,450.0,6
0,1,0,1,1,385,4.4,8,1,88,648,496.0,10
0,1,0,1,1,385,4.1,23,1,43,648,850.0,15
0,1,0,1,4,442,3.9,2,1,1183,1036,189.0,6
0,1,0,2,1,1,5.0,1,1,13,733,1349.0,8
0,1,0,1,7,478,4.8,7,1,76,744,82.0,6
1,0,0,1,61,58,4.4,10,1,463,732,879.0,6
0,1,0,2,3,428,5.0,1,2,10,614,899.0,18
0,1,0,4,8,50,4.6,74,4,1183,732,401.0,7
0,1,0,1,87,559,4.7,7,1,335,878,184.0,5
0,1,0,1,1,380,4.4,12,1,82,733,466.68,13
1,0,0,1,1,49,4.0,1,1,16,638,2590.0,12
0,1,0,1,1,385,4.6,5,1,1,648,205.0,11
1,0,0,8,40,85,5.0,4,1,244,744,799.0,7
0,1,0,1,2,428,5.0,1,1,1183,1036,499.0,8
0,1,0,1,26,446,4.8,7,1,325,878,294.0,11
0,1,0,1,10,385,4.2,5,1,76,744,85.0,12
0,1,0,2,11,69,3.6,4,2,1183,1036,334.0,6
0,1,0,1,3,442,3.8,32,1,80,733,125.0,3
0,1,0,1,1,385,3.6,52,1,3,648,200.0,10
0,1,0,2,2,366,4.5,28,2,463,402,559.0,13
0,1,0,2,11,431,4.8,15,2,25,402,154.0,5
0,1,0,3,15,493,4.3,57,3,1183,1036,309.0,5
0,1,0,1,10,431,2.0,1,4,5,638,25.0,8
0,1,0,1,1,493,4.2,3,1,47,638,760.0,23
0,1,0,1,33,493,4.3,109,1,325,878,272.0,17
0,1,0,2,2,478,4.0,1,2,1183,1036,401.0,3
0,1,0,1,1,366,5.0,2,1,1183,1036,500.0,7
0,1,0,2,36,442,3.7,6,2,76,670,281.0,30
0,1,0,2,36,493,4.8,9,2,244,744,536.0,26
0,1,0,1,5,435,4.5,17,1,517,702,443.0,5
0,1,0,4,13,435,4.9,12,1,234,744,474.0,7
0,1,0,1,3,366,4.0,22,1,1183,1036,369.0,6
0,1,0,1,40,478,4.7,32,1,244,744,304.0,9
0,1,0,1,15,428,5.0,2,1,1183,1036,498.95,14
0,1,0,1,8,435,4.0,1,1,1183,1036,449.0,13
0,1,0,11,11,493,5.0,7,1,234,744,487.0,7
0,1,0,1,1,380,2.0,1,1,9,878,180.0,12
1,0,0,1,4,93,4.5,89,1,9,878,559.0,4
0,1,0,1,2,431,3.0,1,1,517,702,113.0,5
0,1,0,1,1,334,4.4,16,1,517,702,149.0,4
0,1,0,7,7,428,5.0,8,1,234,744,562.93,6
0,1,0,1,1,428,4.6,37,1,9,648,340.0,4
0,1,0,1,1,493,4.5,5,1,23,744,823.0,6
0,1,0,3,6,428,4.6,3,3,1183,1036,386.0,5
0,1,0,1,3,428,4.5,5,1,1183,1036,299.0,22
0,1,0,2,65,428,4.1,4,1,5,733,138.0,8
0,1,0,1,2,478,4.4,42,1,94,702,316.0,10
0,1,0,1,1,442,4.0,3,1,35,614,195.0,4
0,1,0,1,34,478,4.1,45,1,325,878,225.0,24
0,1,0,1,10,559,4.3,304,1,517,702,110.0,9
0,1,0,1,21,493,4.7,18,1,335,878,369.0,30
1,0,0,1,1,85,4.8,19,1,52,638,419.0,4
0,0,1,1,1,15,3.8,96,1,80,614,243.0,40
0,1,0,1,1,52,4.8,5,1,517,702,270.0,3
0,1,0,1,1,442,4.7,4,1,39,648,4013.0,8
0,1,0,2,2,431,4.3,22,2,463,638,400.44,26
0,1,0,2,2,428,4.5,419,1,9,648,230.0,6
1,0,0,2,3,79,4.6,10,2,92,732,350.0,4
1,0,0,3,4,79,5.0,1,3,92,670,2820.0,7
