Publication_Hardcover,Publication_Paperback,Publication_other,BookCategory_Action & Adventure,"BookCategory_Arts, Film & Photography","BookCategory_Biographies, Diaries & True Accounts",BookCategory_Comics & Mangas,"BookCategory_Computing, Internet & Digital Media","BookCategory_Crime, Thriller & Mystery",BookCategory_Humour,"BookCategory_Language, Linguistics & Writing",BookCategory_Politics,BookCategory_Romance,BookCategory_Sports,Reviews,Ratings,Age_of_book,Price
0,1,0,0,0,1,0,0,0,0,0,0,0,0,5.0,2,4,769.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0,2,3,180.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.2,7,5,199.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.1,5,6,370.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.7,285,7,259.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.1,29,9,444.25
0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.0,1,6,743.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.7,27,6,360.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.0,4,18,247.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.2,267,4,88.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.0,24,8,191.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,7,23,138.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.7,6,12,503.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0,2,9,220.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.3,146,8,325.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.0,1,11,573.18
1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,4,6,1049.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,6,413.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.1,95,4,304.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,5.0,1,6,661.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.6,234,6,334.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.7,35,7,543.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,3,3,721.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.1,5,15,1643.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.4,7,14,309.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,2,4,854.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0,4,7,1799.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.6,66,10,437.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,1,6,409.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.5,15,6,239.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.5,8,4,374.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.2,20,7,199.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.6,39,21,345.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.2,9,4,373.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,5.0,6,4,400.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.7,3,3,433.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8,7,7,1477.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.6,7,5,499.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.9,12,5,262.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.1,171,6,2846.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,13,3,150.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0,2,53,350.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.5,2,3,434.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.5,9,14,423.24
0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.0,2,11,449.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.2,7,6,510.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.6,399,4,93.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,8,479.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,7,13,115.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.5,42,3,319.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,2,6,74.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.8,2,5,399.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0,2,6,3242.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.2,142,5,324.35
0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.4,4,9,555.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,2.9,10,18,302.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.9,62,8,200.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.1,3,18,212.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,5.0,1,3,685.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.0,1,4,427.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.5,15,12,1099.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,5,7,1453.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.8,6,6,190.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.7,11,21,336.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.7,20,29,647.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.7,4,6,320.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.0,1,13,899.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.3,839,8,235.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.9,47,7,260.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.5,5,4,620.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1,6,599.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.3,3,7,449.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.4,18,9,837.0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0,1,20,1879.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.3,165,22,547.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.7,30,9,199.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.3,7,11,549.0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.2,5,5,1059.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.2,53,7,374.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.7,3,14,624.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.0,2,13,1045.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,1,13,1625.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.5,6,23,815.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.3,32,14,816.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.5,10,9,614.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.6,14,3,180.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.8,77,4,397.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.3,16,5,155.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.0,33,6,303.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.5,35,7,459.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.2,37,30,309.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.6,3,4,1179.99
0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.7,4,6,774.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0,6,6,3859.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.0,8,3,209.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.8,10,10,1600.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.5,2,4,372.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.0,1,13,2964.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.9,9,6,325.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,6,16,449.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.6,54,4,330.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.0,1,3,450.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,2,11,1029.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.7,6,12,375.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1,19,720.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.3,35,19,395.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.9,13,5,184.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.8,13,30,283.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,1,4,449.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.3,28,5,299.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.7,7,5,299.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.5,2,26,270.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.5,2,13,61.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.7,23,4,184.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.2,50,4,70.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.0,2,10,418.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.7,4,4,395.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.0,197,11,179.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,5.0,2,13,782.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.5,4,22,475.44
0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0,30,10,403.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.0,1,10,359.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.9,26,40,114.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.7,5,8,639.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.4,3,3,247.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.2,114,5,210.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.7,32,3,117.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.8,12,4,1679.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,1,13,73.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.2,46,9,2905.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.7,15,8,344.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.0,1,7,1499.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1,4,309.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.5,72,25,250.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.8,51,11,259.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.0,1,7,1074.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.3,161,6,322.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.0,3,7,768.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.6,135,12,120.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.3,26,14,205.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.6,41,6,338.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,33,723.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.0,1,8,1499.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.5,156,7,171.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.3,15,3,372.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.7,77,7,369.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.6,1416,5,73.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.5,4,7,783.0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.0,1,4,259.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.2,3,5,1268.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.7,49,7,187.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.6,3,7,677.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.5,4,5,266.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.5,2,4,344.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.1,93,4,304.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.3,7,12,82.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.0,3,4,434.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.5,27,6,248.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.0,1,4,153.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.8,23,11,203.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.5,221,5,335.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.8,5,40,455.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,5.0,2,12,702.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.3,36,11,69.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.6,3,27,296.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.8,6,4,334.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.9,154,15,399.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0,3,18,135.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.4,8,9,428.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.4,74,8,659.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.6,20,11,678.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.3,10,11,320.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.2,49,10,363.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.2,14,5,319.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.1,2,13,793.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.4,24,5,228.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,2,8,1196.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.0,7,3,258.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.1,35,6,319.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,1,6,734.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.6,45,5,395.0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.9,6,10,1453.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.4,3,10,97.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.6,11,15,378.91
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.4,7,7,259.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.3,13,9,299.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.5,5,35,88.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,23,375.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.6,41,9,304.0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0,2,4,541.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.9,20,11,380.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.7,8,19,489.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.5,2,5,354.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,5.0,10,5,205.0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.2,4,9,449.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.4,39,5,415.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,5.0,1,6,497.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.0,27,7,2742.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0,1,7,467.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.9,11,4,373.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3,19,706.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.6,3,8,233.22
0,1,0,0,0,0,0,0,0,0,1,0,0,0,5.0,1,5,1009.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.1,240,21,159.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.4,50,9,773.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.7,62,11,139.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,1,6,1203.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.1,55,11,259.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.4,4,19,228.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.5,9,10,375.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2,4,113.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.5,55,5,480.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1,5,1038.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.5,19,20,690.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.3,3,20,299.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.6,5,6,245.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.5,2,10,425.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.0,2,20,324.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0,4,19,239.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.7,17,3,242.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.6,7,4,580.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.3,26,15,420.44
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.3,4,8,469.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.7,7,12,359.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.3,37,5,225.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.3,48,4,407.5
0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.9,15,3,125.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.1,404,8,79.0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.0,2,12,319.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,5.0,1,5,798.44
0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.7,8,3,178.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.4,8,4,443.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.0,1,8,1416.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.5,3,12,399.14
0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.8,3,36,310.0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.0,1,6,161.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.8,7,9,399.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.2,29,19,240.93
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.2,245,10,155.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.2,11,5,599.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.1,35,8,375.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.5,8,8,450.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.1,37,10,309.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.0,5,32,140.0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.4,5,6,1280.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,31,3951.07
0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.5,45,13,158.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.5,5,9,399.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.5,14,6,220.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.2,6,4,366.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.5,62,6,319.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,35,4,408.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.0,2,3,449.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.9,9,8,2275.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,5.0,3,6,808.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.6,10,4,350.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,5,1499.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,22,12,270.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0,2,5,311.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.7,26,5,295.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,5.0,1,10,2655.21
1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.4,3,7,779.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.0,11,9,497.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.4,26,6,207.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.7,18,10,212.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.7,36,4,508.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.5,5,15,858.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8,62,10,1300.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.6,7,8,449.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,2,6,130.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0,3,4,493.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.1,10,12,399.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.4,292,6,179.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.6,5,8,336.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.1,14,4,125.0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0,1,7,130.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.1,25,14,374.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.4,7,13,247.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,5,206.5
0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.0,1,6,274.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,5.0,1,11,1320.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.8,6,5,925.0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.6,9,5,999.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.1,75,7,153.0
